Título,Referenciado en,Agregado por,,,,,,
"Salas, Julio. Los indios caribes: estudio sobre el origen del mito de la antropofagia. Madrid: Editorial América, 1920.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"San Buenaventura, fray Joseph de. Historias de la conquista del Mayab, 1511-1697. Ed. Gabriela Solís Robleda y Pedro Bracamonte y Sosa. Mérida: Universidad Autónoma de Yucatán, 1994.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Sarmiento, Domingo Faustino. Conflicto y armonías de las razas en América. México: Universidad Nacional Autónoma de México, 1978.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Sarmiento, Domingo Faustino. Facundo. Civilización y barbarie. Espasa Calpe. Buenos Aires: Espasa-Calpe, 1993.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Sarmiento, Domingo Faustino. Recuerdos de provincia. Buenos Aires: Emecé, 1944.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Sarmiento, Domingo Faustino. Viajes. Madrid: Fondo de Cultura Económica, 1993.",Mujeres en tránsito; Food Studies,Vanesa Miseres,,,,,,
"Sepúlveda, Juan Ginés de. Demócrates segundo o de las justas causas de la guerra contra los indios. Madrid: Instituto Francisco de Vitoria, 1984.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Sigüenza y Góngora, Carlos de. Alboroto y motín de los indios de México. Ciudad de México: Universidad Nacional Autónoma de México/ Miguel Ángel Porrúa, [1692], 1986.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Sigüenza y Góngora, Carlos de. Seis obras. Intr. Irwin Leonard. Caracas: Biblioteca Ayacucho, 1984.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Silva, José Asunción. De sobremesa. Obras completas. Colección Archivos. Madrid: 1990. 227-392.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Suárez, Francisco. Defensa de la fe católica y apostólica contra los errores del anglicanismo [Defensio fidei Catholicae et apostolicae aduersus Anglicanae sectae errores], 4 vols. Ed. José Ramón Eguillor Muniozguren. Madrid: Instituto de Estudios Políticos, 1970-1971.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Sánchez Valverde, Antonio. Idea del valor de la isla Española, y utilidades, que de ella puede sacar su monarquía. Madrid: Imprenta de Don Pedro Marín, 1785.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Torquemada, Antonio de. Manual de escribientes. Ed. María Josefa Canellada, Alonso Zamora Vicente. Madrid: Anejo del Boletín de la Real Academia Española,[ca. 1574], 1970.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Torquemada, Juan de. Monarquía indiana. Ciudad de México: Universidad Nacional Autónoma de México-Instituto de Investigaciones Históricas, [1615], 1975.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Vallejo, César. “Las mujeres de París.” La cultura peruana (crónicas). Lima, Perú: Mosca Azul Editores, 1987. 55-56.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Vallejo, César. “Telúrica y magnética” from Poemas humanos. In Obra poética completa, edited by Enrique Ballón Aguirre, 135–36. Caracas: Fundación Biblioteca Ayacucho, 1985.",Food Studies,Vanesa Miseres,,,,,,
"Vargas Machuca, Bernardo de. Milicia y descripción de las Indias escrita por el capitán D. Bernardo de Vargas Machuca... Reimpresa fielmente, según la primera edición hecha en Madrid en 1599. Madrid: Victoriano Suárez, 1892",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Velasco, Martín de. Arte de sermones para saber hacerlos y predicarlos dedicado al fray Iván de Herrera, lector de prima y prior del convento de predicadores de la ciudad de Cartagena y vicario provincial de todos los de la costa de Cartagena y Santa Marta. Cádiz: Bartolomé Núñez de Castro, 1677.",Instable puente,Juan Vitulli,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
