Título,Referenciado en,Agregado por,,,,,,
"Cobo, Bernabé. Historia del nuevo mundo. Edited by Marcos Jiménez de la Espada. Vol. 1. Seville, Spain: Imprenta de E. Rasco, 1890. First published in 1652.",Food Studies,Vanesa Miseres,,,,,,
"Colón, Cristóbal. Textos y documentos completos. Relaciones de viajes, cartas y memoriales. Madrid: Alianza, 1984.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Cortés, Hernán. 1971 . Letters from México . Trans. and ed. Anthony Pagden. New York: Orion.",El estado mestizo,Joshua Lund,,,,,,
"Covarrubias Orozco, Sebastián de. Tesoro de la lengua castellana, o española. Madrid: Imprenta Luí s Sánchez, 1611. http://fondosdigitales.us.es/fondos/libros/765/16/tesoro-de-la-lengua-castellana-o-espanola/.",Food Studies; Espectros y conjuras,Vanesa Miseres; Carlos Jáuregui,,,,,,
"Covarrubias, Diego de. “Justicia de la guerra contra los indios”. Misión de España en América, 1540-1560. Introd. y comp. Luciano Pereña Vicente. Madrid: Consejo Superior de Investigaciones Científicas/ Instituto Francisco de Vitoria, 1956, pp. 184-231.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Cruz, Sor Juana Inés de la. Obras completas. Ed. Alfonso Méndez Plancarte. Vol. I. México: FCE, 1951.",Instable puente,Juan Vitulli,,,,,,
"Cáceres, Aurora. La Ciudad del Sol. Lima: Librería Francesa Científica-Casa Editorial E. Rosay, 1927.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Cáceres, Aurora. La rosa muerta. Las perlas de Rosa. París: Garnier Hermanos, 1914.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Códice Florentino. Comp. Bernardino de Sahagún. Biblioteca palatina (Florencia, Italia). Edición Fascimilar. 3 vols. Ciudad de México: Secretaría de Gobernación, 1979.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Código Negro Carolino (1784). Ed. Javier Malagón Barceló. Santo Domingo: Editora Taller, 1974.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Darío, Rubén. Peregrinaciones. Rubén Darío Obras completas, vol. III. Madrid: A. Aguado, 1950.",Mujeres en tránsito,Vanesa Miseres,,,,,,
"Darío, Rubén. Poesía. Caracas: Ayacucho, 1977. 255.",Mujeres en tránsito; Food Studies,Vanesa Miseres,,,,,,
"De la Cruz, Sor Juana Inés. Obras completas. Comedias, sainetes y prosa. Edited by Alfonso G. Salceda. Mexico City: Fondo de Cultura Económica; Instituto Mexiquense de Cultura, 1994",Food Studies,Vanesa Miseres,,,,,,
"Delgadillo y Sotomayor, Joseph. Arte de predicar preceptos de San Pedro Chrysologo sacados de sus Sermones fielmente por el P. Predicador F. Joseph Delgadillo y Sotomayor, hijo de la Provincia de S. Antonio delos Charcas en la Observancia de N. P. S. Francisco, Lector de Sagrada Teología Moral. Lima, 1676",Instable puente,Juan Vitulli,,,,,,
"Díaz del Castillo, Bernal. Historia verdadera de la conquista de la Nueva España. (Manuscrito “Guatemala”). Edición crítica de José Antonio Barbón Rodríguez. Ciudad de México: El Colegio de México/ Universidad Nacional Autónoma de México, 2005.",Espectros y conjuras,Carlos Jáuregui,,,,,,
"Espinosa Medrano, Juan de. Amar su propia muerte. Ed. Juan M. Vitulli. Madrid:Editorial Iberoamericana / CSIC, 2011.",Instable puente,Juan Vitulli,,,,,,
